,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21
Robin_education_Lashandra,3.4777132771026694e-95,4.9173730066075054e-98,0.0,0.0,0.0,1.0,1.0693169591462653e-35,0.0,4.3109582708177283e-181,0.0,7.399037966746268e-18,4.483054728597579e-177,0.0,0.0,0.0,0.0,0.0,1.2866729685311676e-17,0.0,0.0,0.0,2.4041955727484157e-34
Robin_education_Lizbeth,9.49768711853085e-31,0.0,0.0,0.0,0.0,8.672861259342696e-46,9.368589075697336e-20,0.0,0.0,0.0,3.088589164498692e-09,4.170999413856075e-28,0.0,0.0,0.0,0.0,0.0,0.999999996551173,0.0,0.0,0.0,3.602372988002933e-10
Robin_office_Gayle,3.52514773385152e-18,2.705140930321781e-59,0.0,0.0,0.0,1.9229898757772574e-39,2.228679794369068e-17,0.0,0.0,0.0,6.962727648199559e-06,6.44132127654285e-72,0.0,0.0,0.0,0.0,0.0,0.0001823643226009108,0.0,0.0,0.0,0.9998106729497507
Robin_office_Shirlene,9.043798798861465e-75,0.0,0.0,0.0,0.0,6.879720354723558e-40,2.3321240878299616e-19,0.0,0.0,0.0,0.9063758856122641,2.5178581535843314e-118,0.0,0.0,0.0,0.0,0.0,7.509392964066257e-07,0.0,0.0,0.0,0.09362336344843888
Robin_education_Madeline,8.488902564029979e-80,4.773418845163303e-253,0.0,0.0,0.0,0.15115709233001598,0.8488429076045687,0.0,1.920685532408074e-307,0.0,3.4196431283787815e-16,9.153256320315728e-129,0.0,0.0,0.0,0.0,0.0,6.5414466558225e-11,0.0,0.0,0.0,1.5197344672124938e-30
Robin_lodging_Phillip,2.113991098196043e-13,3.602587521313871e-105,0.0,0.0,0.0,3.580603285564737e-42,1.7473447174666094e-18,0.0,0.0,0.0,1.072715952025047e-05,9.923841011025881e-47,0.0,0.0,0.0,0.0,0.0,0.9994842047284738,0.0,0.0,0.0,0.0005050681117952562
Robin_education_Jasper,4.343716196926445e-16,2.3227609204821807e-199,0.0,0.0,0.0,3.763706533450955e-27,1.0174317822954013e-08,0.0,0.0,0.0,1.8942001230095147e-09,1.711187323910707e-36,0.0,0.0,0.0,0.0,0.0,0.9999999879024735,0.0,0.0,0.0,2.9008361190683748e-11
Robin_office_Wai,0.0,0.0,0.0,0.0,0.0,4.8433202865570245e-76,4.560188887988672e-74,0.0,1.1513073600723732e-122,0.0,5.586776400985449e-64,0.0,0.0,0.0,1.0,0.0,0.0,8.675274058795308e-91,0.0,0.0,0.0,1.1913465882995062e-74
Robin_education_Terrance,8.471599659455117e-119,0.999999999999984,0.0,0.0,0.0,1.4301528065253299e-28,2.348461858692693e-37,0.0,0.0,0.0,7.199595227693393e-27,6.920942764404469e-152,0.0,0.0,0.0,0.0,0.0,1.6060578519526185e-14,0.0,0.0,0.0,1.776509280772132e-29
Robin_lodging_Elmer,5.941113666835254e-138,1.8726656804677945e-210,0.0,0.0,0.0,2.3705300009514687e-51,1.1916105667306536e-23,0.0,0.0,0.0,0.9999886821669511,3.5940032646478704e-101,0.0,0.0,0.0,0.0,0.0,1.1001977071689084e-05,0.0,0.0,0.0,3.1585597767950046e-07
Robin_office_Addie,0.9999854310074063,0.0,0.0,0.0,0.0,3.1406211293778706e-53,1.1563261075958244e-23,0.0,0.0,0.0,1.2576780343963638e-12,9.019916009917321e-31,0.0,0.0,0.0,0.0,0.0,9.225497594263864e-06,0.0,0.0,0.0,5.343493741931148e-06
Robin_education_Cecilia,0.9956278932975108,6.513918379438137e-262,0.0,0.0,0.0,3.055104763013167e-61,2.8779145888540477e-20,0.0,0.0,0.0,3.493734841262178e-12,4.6625200622693596e-21,0.0,0.0,0.0,0.0,0.0,0.0033318991394017438,0.0,0.0,0.0,0.0010402075595932804
Robin_education_Kiera,1.3037989710385214e-63,1.3606037623858984e-71,0.0,0.0,0.0,3.847970930033954e-29,6.320538462462504e-11,0.0,0.0,0.0,0.029231937484606237,5.69576691176601e-171,0.0,0.0,0.0,0.0,0.0,3.6487016878621485e-07,0.0,0.0,0.0,0.9707676975820186
Robin_lodging_Pricilla,4.7112085509118e-106,0.0,0.0,0.0,0.0,6.838035663432324e-57,1.0388981950591554e-22,0.0,0.0,0.0,0.9999117294928362,1.0162842179066321e-85,0.0,0.0,0.0,0.0,0.0,4.443999446698715e-05,0.0,0.0,0.0,4.3830512696682125e-05
Robin_education_So,1.4583828437986027e-184,2.3610387248019285e-250,0.0,0.0,0.0,1.0,1.290865812800591e-41,0.0,1.1150480114251652e-132,0.0,7.924332617925823e-30,2.2983150796203776e-229,0.0,0.0,0.0,0.0,0.0,5.529785121826815e-32,0.0,0.0,0.0,4.9671227783732053e-57
Robin_office_Maryann,2.3502188725040383e-69,8.61564675447861e-124,0.0,0.0,0.0,3.398840239315825e-20,0.9999999962734591,0.0,0.0,0.0,1.7340410021924635e-15,1.0701218771945001e-106,0.0,0.0,0.0,0.0,0.0,3.726539225971621e-09,0.0,0.0,0.0,4.171225278038022e-20
Robin_office_Serena,8.45973933497441e-22,3.0210971553616295e-188,0.0,0.0,0.0,8.263450954317058e-45,4.748801007627869e-17,0.0,0.0,0.0,1.0737593530304038e-05,3.610996837495431e-122,0.0,0.0,0.0,0.0,0.0,1.8529703189936386e-05,0.0,0.0,0.0,0.9999707327032797
