,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24
Shrew_office_Ila,0.0,2.6275459623328318e-06,0.0,0.0,0.0,0.0,0.9999973720897992,0.0,2.5133592953192658e-79,0.0,0.0,4.20759589993528e-50,2.273071687326323e-204,3.633700588768143e-24,0.0,0.0,0.0,0.0,0.0,2.7885292333031088e-112,0.0,3.6423758500140923e-10,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.999577593356826,0.0,0.0,0.0,0.0,3.4577134411138255e-12,0.0,1.2233508334230877e-67,0.0,0.0,9.705470305522249e-10,1.2164346618321657e-139,5.875973574077726e-25,0.0,0.0,0.0,0.0,0.0,8.921316099239551e-239,0.0,0.0004224056691688958,0.0,0.0,0.0
Shrew_office_Doris,1.297394663579169e-299,1.0396339630739544e-12,0.0,0.0,0.0,0.0,0.9999999999989608,0.0,1.2797608630998668e-108,0.0,0.0,1.9786670438239186e-64,5.05888728760095e-180,2.517483034241052e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8502938137327577e-20,0.0,0.0,0.0
Shrew_office_Lin,1.0533821381012412e-91,1.3980883193800075e-87,0.0,0.0,0.0,0.0,2.021269719956291e-62,0.0,7.104678451715183e-245,0.0,0.0,1.469048293348216e-278,0.0,8.010898633319819e-104,0.0,0.0,0.0,0.0,0.0,8.006154248473255e-97,1.0,2.1398372529606433e-96,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,2.2448285872937727e-65,0.0,0.0,0.0,0.0,1.9266604862534752e-54,0.0,1.208946452430883e-61,1.0,0.0,1.800070576272772e-62,1.3736825687217418e-288,4.2484398604338775e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0775849402817687e-45,0.0,0.0,0.0
Mouse_health_Buddy,0.0,3.614428235375759e-210,1.0,0.0,0.0,0.0,1.9248442669043837e-228,0.0,0.0,0.0,0.0,0.0,0.0,5.91609434679674e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.798022565122109e-286,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,1.0,0.0,1.6340531861681316e-234,0.0,0.0,0.0,0.0,0.0,0.0,3.72221342056814e-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.825149278711808e-291,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,3.1018849864059393e-09,0.0,0.0,0.0,0.0,2.1102595789731447e-21,0.0,2.6854098791306054e-57,0.0,0.0,0.9999999968981026,1.2632661542380246e-186,1.137940418841297e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2822024938289829e-14,0.0,0.0,0.0
Mouse_health_Justin,8.751143246481497e-286,1.5791002906951388e-147,0.0,0.0,0.0,0.0,1.841154543154901e-306,1.0,2.6092e-319,0.0,0.0,0.0,0.0,2.3311822712955542e-147,0.0,0.0,0.0,0.0,0.0,4.141286464864651e-245,0.0,2.077338473789227e-200,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.9804471991147793,0.0,0.0,0.0,0.0,3.821747466635302e-15,0.0,2.602289946379309e-58,0.0,0.0,1.7596950204322148e-10,8.120066706981256e-209,1.521321085736069e-19,0.0,0.0,0.0,0.0,0.0,1.48589267461485e-309,0.0,0.019552800709248096,0.0,0.0,0.0
Mouse_health_Estela,2.4904087853236335e-149,7.46132053141724e-74,0.0,0.0,0.0,0.0,8.760548660425146e-63,0.0,4.4756232871900375e-123,0.0,0.0,1.4265827492779276e-288,1.3945895353591143e-200,2.3032162552721913e-73,1.0,0.0,0.0,0.0,0.0,1.0308451117811952e-301,0.0,1.0272543715104531e-105,0.0,0.0,0.0
Mouse_science_Micheal,0.0,1.174904545033105e-265,0.0,0.0,0.0,0.0,6.163604178655037e-249,0.0,0.0,0.0,0.0,0.0,0.0,4.6199250481466955e-174,0.0,0.0,0.0,1.0,0.0,7.00233113183232e-228,0.0,0.0,0.0,0.0,0.0
