,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25
Robin_assembly_Colleen,0.0,0.0,1.291269988708381e-22,0.0,3.195933400800412e-05,0.0,1.4667075385036943e-50,0.0,0.0,0.0,0.0,0.0,4.6457906742707415e-15,0.9999680406659877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.315247946303554e-67,0.0,1.3559796498447684e-54,0.0,0.0
Robin_office_Soledad,0.0,0.0,2.445820395705362e-23,0.0,4.0158973921820794e-41,0.0,1.9140546480039438e-13,0.0,0.0,0.0,0.0,0.0,0.9995321024931897,0.000467897506619442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.732176108072988e-81,0.0,2.913019166320464e-52,0.0,0.0
Robin_education_Audrea,0.0,0.0,4.9619340163491764e-64,0.0,9.732043123437057e-53,0.0,5.420512840726847e-42,0.0,0.0,0.0,0.0,0.0,4.600488257943455e-54,8.650829987612119e-56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.704789624562062e-66,0.0,5.662803033481951e-102,0.0,0.0
Robin_office_Saul,0.0,0.0,1.1001239522343628e-16,0.0,2.6260183886269414e-18,0.0,0.0005371683304173085,0.0,0.0,0.0,0.0,0.0,0.9994628314240761,2.455060934992923e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.289347333105773e-66,0.0,2.9082701082672835e-66,0.0,0.0
Robin_lodging_Donna,0.0,0.0,9.743087329126037e-23,0.0,0.9997408031347346,0.0,7.99050157511014e-18,0.0,0.0,0.0,0.0,0.0,1.0559624915236271e-05,0.00024863724035069406,0.0,0.0,0.0,0.0,0.0,0.0,7.568459112140755e-212,3.3092543601288606e-67,0.0,1.13793877322768e-28,0.0,0.0
Robin_office_Antonina,0.0,0.0,6.302787504061392e-27,0.0,2.9156153624074612e-80,0.0,3.742255881452052e-45,0.0,0.0,0.0,0.0,0.0,2.8613237321971055e-80,1.37768469882254e-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1933930352294683e-229,0.0,0.0
Robin_office_Erma,1.0,0.0,8.035282408202313e-74,0.0,1.3175666119925038e-70,0.0,3.0535635540356774e-56,0.0,0.0,0.0,0.0,0.0,1.5047671864196494e-42,8.117577448453048e-39,0.0,0.0,0.0,0.0,0.0,0.0,6.999405702464189e-147,1.375112284192533e-118,0.0,8.53295353502774e-109,0.0,0.0
Robin_office_Zelma,0.0,0.0,6.060736566813496e-13,0.0,2.544790234571781e-14,0.0,0.9999999994445927,0.0,0.0,0.0,0.0,0.0,5.536647077335655e-10,1.1107811208122046e-12,0.0,0.0,0.0,0.0,0.0,0.0,5.231547815230064e-235,5.354022855571986e-37,0.0,7.445296026839186e-30,0.0,0.0
Robin_lodging_Renea,0.0,0.0,9.413888609294722e-19,0.0,1.1053738449831072e-10,0.0,1.228094131443294e-35,0.0,0.0,0.0,0.0,0.0,7.610143228567399e-17,2.028767903080637e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0960564769101343e-164,9.13202005395891e-58,0.0,0.9999999998691749,0.0,0.0
Robin_lodging_Armand,0.0,0.0,4.667338928615195e-17,0.0,0.967782150858597,0.0,4.506926824333232e-08,0.0,0.0,0.0,0.0,0.0,0.032058517083007415,0.0001592869891278462,0.0,0.0,0.0,0.0,0.0,0.0,2.6258043139963327e-114,2.2762687755673124e-56,0.0,5.413407456598763e-25,0.0,0.0
Robin_education_Karyl,0.0,0.0,4.038930062683905e-21,0.0,3.5111625055283945e-36,0.0,0.00015473623479998546,0.0,0.0,0.0,0.0,0.0,0.9998452332823109,3.0482889190101785e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2658336761987722e-70,0.0,4.611635852911365e-36,0.0,0.0
Robin_lodging_Janie,0.0,0.0,2.608670535087949e-19,0.0,4.832461431494937e-28,0.0,5.880835311944262e-29,0.0,0.0,0.0,0.0,0.0,4.76019361189871e-29,1.0791068609513412e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3848331942563655e-47,0.0,1.8184195868595688e-72,0.0,0.0
Shrew_office_Sherill,0.0,0.0,3.561074882368568e-95,0.0,1.2682932997159276e-153,0.0,1.6440043319618006e-139,0.0,0.0,1.0,0.0,0.0,2.9418834545805444e-185,2.6431813496647683e-164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5427748891132242e-109,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,7.66702570567117e-22,0.0,2.7626942711995346e-09,0.0,3.008697811200729e-07,0.0,0.0,0.0,0.0,0.0,0.9980357629648594,0.001963933402666037,0.0,0.0,0.0,0.0,0.0,0.0,7.535248671846781e-130,1.2448775530488938e-65,0.0,1.1390742184126972e-43,0.0,0.0
Shrew_office_Nora,0.0,0.0,1.4760369000718487e-69,0.0,9.012017275202676e-85,0.0,3.791421956719303e-133,0.0,0.0,0.0,0.0,0.0,2.8424675577239194e-97,8.656975881462547e-65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3702310757430266e-186,0.0,2.2549314185903337e-161,0.0,0.0
Shrew_office_Katherine,0.0,0.0,6.449744606064677e-66,0.0,2.190930338203657e-90,0.0,2.3375537704370372e-58,0.0,0.0,0.0,0.0,0.0,1.166243998544574e-53,2.8845432514980632e-70,0.0,0.0,0.0,0.0,0.0,0.0,6.682040490586906e-91,6.453068703310042e-140,1.0,8.108880773570177e-254,0.0,0.0
